"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","资源甘特图测试用例","1","0","添加布局名称成功","0"
"0","","0","个人设置测试用例","3","0","修改密码不符合标准","0"
"0","","0","资源切换表测试用例","1","0","刷新成功","0"
"1","","0","标准应用设置测试用例","0","0","修改布局名称成功","0"
"0","","0","标准应用设置测试用例","1","0","添加透视表布局-添加名称点击确定 添加成功","0"
"0","","1","制造订单表测试用例","0","0","输入全部数据，添加保存成功","0"
"1","","0","订单预占料测试用例","0","0","删除测试数据成功","0"
"1","","0","事务管理页用例","0","0","流程日志-全部条件搜索成功，没有数据的时候显示无数据","0"
"0","","0","物料组表测试用例","1","0","查询物料组名字成功","0"
"0","","0","标准应用设置测试用例","1","0","标签列表不添加名称不允许添加","0"
"0","","0","物料库存测试用例","1","0","添加物料库存信息，只填写物料代码，不填写仓库代码等，不允许提交","0"
"0","","0","标准应用设置测试用例","1","0","添加透视表布局-不添加名称 添加失败","0"
"0","","0","事务管理页用例","1","0","我的流程-频率为每天，点击下一步，再返回上一步，数据没有清空","0"
"0","","0","事务管理页用例","1","0","我的流程-是否启动查询为开启","0"
"0","","0","方案管理表测试用例","1","0","添加方案管理信息 不填写数据点击确认 不允许提交","0"
"0","","0","事务管理页用例","1","0","流程日志-设置分页为50,点击最后一页有数据","0"
"0","","0","事务管理页用例","1","0","我的流程-添加流程填写名称和分类，不允许保存","0"
"0","","0","环境设置页用例","1","0","周期页面-工作日的起始时间-不输入不允许保存，输入框颜色改变","0"
"0","","0","方案管理表测试用例","1","0","属性设置-分派方向","0"
"0","","0","环境设置页用例","1","0","排程页面-校验所有数字输入框-不输入不允许保存，输入框颜色改变","0"
"0","","0","标准应用设置测试用例","1","0","修改统计图名称重复，修改失败","0"
"1","","0","事务管理页用例","0","0","我的流程-修改频率成功","0"
"0","","1","事务管理页用例","0","0","我的流程-修改名称分类重复","0"
"0","","0","生产特征切换表测试用例","1","0","添加数据成功","0"
"1","","0","事务管理页用例","0","0","事务模版-添加全部成功","0"
"0","","0","客户表测试用例","1","0","添加数据重复","0"
"0","","0","环境设置页用例","1","0","排程页面-所有复选框都勾选，并且保存成功","0"
"0","","0","环境设置页用例","2","0","全体页面-修改全部下拉框，并且保存成功","0"
"1","","0","事务管理页用例","0","0","事务模版-切换事务类型，配置参数刷新","0"
"1","","0","仓库库位测试用例","0","0","删除数据成功","0"
"0","","0","覆盖日历表测试用例","1","0","刷新成功","0"
"1","","0","供应商信息测试用例","0","0","添加数据成功","0"
"1","","0","物料员测试用例","0","0","没有数据时显示正常","0"
"0","","0","工艺产能表测试用例","1","0","删除输入指令成功","0"
"0","","0","资源甘特图测试用例","1","0","资源甘特图-工作面板显示内容","0"
"0","","0","生产日历表测试用例","1","0","添加数据成功 - 日期","0"
"1","","0","生产报工测试用例","0","0","添加生产报工成功","0"
"0","","0","覆盖日历表测试用例","1","0","输入全部数据，添加保存成功","0"
"0","","0","工序表测试用例","1","0","修改工序代码成功","0"
"0","","0","资源表测试用例","1","0","把修改后的资源代码改回来","0"
"0","","0","物品切换表测试用例","1","0","添加数据成功","0"
"0","","0","客户表测试用例","1","0","查询客户代码成功","0"
"0","","0","导航栏测试用例","1","0","关闭导航栏页面成功","0"
"0","","0","资源组表测试用例","1","0","查询资源组代码成功","0"
"0","","0","事务管理页用例","1","0","我的流程-添加流程填写名称和分类，不允许点击下一步","0"
"0","","0","资源组表测试用例","1","0","没有数据时显示正常","0"
"0","","0","班次表测试用例","1","0","查询代码成功","0"
"0","","0","物料表测试用例","1","0","添加物料信息，只填写物料名称，不填写物料代码，不允许提交","0"
"0","","0","标准应用设置测试用例","1","0","添加测试布局成功","0"
